Adı,Doğum Tarihi,Pozisyon,Son Takımı,Maç Sayısı,Gol Sayısı,Sarı Kart,Kırmızı Kart
Cristiano Ronaldo,1985,F,Al Nassr,1153,826,11,
Lionel Messi,1987,F,Inter Miami,1033,805,3,
Robert Lewandowski,1988,F,Barcelona,740,556,2,
Zlatan Ibrahimovic,1981,F,Milan,873,526,14,
Luis Suarez,1987,F,Gremio,837,505,2,
Gerd Müller,1945,F,Fort Lauderdale Strikers,522,456,1,
Karim Benzema,1987,F,Al Ittihad-Jeddah,873,450,0,
Edinson Cavani,1987,F,Valencia,761,419,4,
Neymar,1992,F,PSG,636,410,9,
Sergio Agüero,1988,F,Barcelona,711,395,4,
Hakan Şükür,1971,F,Galatasaray,830,383,1,
Metin Oktay,1936,F,Galatasaray,468,377,1,
Raul Gonzalez,1977,F,NY Cosmos,868,363,0,
Klaas-Jan Huntelaar,1983,F,Schalke 04,650,359,6,
David Villa,1981,F,Vissel Kobe,679,357,7,
Edin Dzeko,1986,F,Fenerbahçe,804,356,3,
Harry Kane,1993,F,Tottenham,580,356,0,
Samuel Eto'o,1981,F,Qatar SC,736,354,5,
Romelu Lukaku,1993,F,Chelsea,688,354,2,
Toni Polster,1964,F,Salzburg,621,351,3,
Gonzalo Higuain,1987,F,Inter Miami,732,346,5,
Wayne Rooney,1985,F,Derby County,830,340,8,
Bafetimbi Gomis,1985,F,Galatasaray,735,339,2,
Eran Zahavi,1987,O,Maccabi Tel Aviv,495,335,2,
Andre-Pierre Gignac,1985,F,Tigres UANL,720,334,3,
Tanju Çolak,1963,F,İstanbulspor,419,332,2,
Hulk,1986,F,Atletico Mineiro,639,326,5,
Pierre Aubameyang,1989,F,Marsilya,602,317,2,
Burak Yılmaz,1985,F,Fortuna Sittard,691,313,9,
Robbie Keane,1980,F,Atletico de Kolkata,679,311,2,
Robin van Persie,1983,F,Feyenoord,686,310,5,
Vivianne Miedema,1996,F,Arsenal (K),327,310,0,
Oscar Cardozo,1983,F,Libertad,662,302,8,
Mohamed Salah,1992,F,Liverpool,582,298,1,
Mario Gomez,1985,F,Stuttgart,597,297,1,
Radamel Falcao,1986,F,Rayo Vallecano,570,296,1,
Klaus Fischer,1949,F,Bochum,576,294,1,
Ciro Immobile,1990,F,Lazio,533,293,3,
Fred,1983,F,Fluminense,616,292,13,
Vagner Love,1984,F,Sport Recife,607,290,6,
Kylian Mbappe,1998,F,PSG,410,290,3,
Hami Mandıralı,1968,F,MKE Ankaragücü,644,289,1,
Hakkı Yeten,1910,F,Beşiktaş,325,284,2,
Antoine Griezmann,1991,F,Atletico Madrid,732,283,2,
Di Stefano,1926,F,Espanyol,396,282,3,
Didier Drogba,1978,F,Phoenix Rising,616,280,7,
Silvio Piola,1913,F,Novara,541,279,6,
Alessandro Del Piero,1974,F,Odisha FC,702,276,2,
Olivier Giroud,1986,F,Milan,670,276,5,
Youssef El-Arabi,1987,F,Olympiakos,498,275,1,
Jupp Heynckes,1945,O,Mönchengladbach,442,273,0,
Rudi Völler,1960,F,Bayer Leverkusen,566,273,1,
Thomas Müller,1989,F,Bayern Münih,774,271,2,
Marcus Berg,1986,F,Göteborg,587,271,4,
Miroslav Klose,1978,F,Lazio,667,270,4,
Jermain Defoe,1982,F,Sunderland,709,269,2,
Francesco Totti,1976,F,Roma,760,268,13,
Eugenie Le Sommer,1989,F,Lyon (K),395,267,1,
Pernille Mosegaard-Harder,1992,O,Chelsea (K),355,264,0,
Claudio Pizarro,1978,F,Werder Bremen,661,263,3,
Dimitar Berbatov,1981,F,Kerala Blasters,634,262,1,
Fernando Torres,1984,F,Sagan Tosu,757,261,7,
Daniela Sabatino,1985,F,Sassuolo (K),340,261,0,
Şeref Görkey,1913,F,Beşiktaş,312,261,2,
Alan Shearer,1970,F,Newcastle United,459,260,2,
Hugo Sanchez,1958,F,FC Dallas,400,259,6,
German Cano,1988,F,Fluminense,497,258,1,
Nemanja Nikolics,1987,F,Pendikspor,473,258,0,
Lukas Podolski,1985,F,Gornik Zabrze,738,257,4,
Bas Dost,1989,F,Utrecht,518,257,0,
Karl-Heinz Rummenigge,1955,F,Servette,518,255,1,
Roy Makaay,1975,F,Feyenoord,520,254,0,
Abderazak Hamdallah,1990,F,Al Ittihad-Jeddah,303,254,0,
Andriy Shevchenko,1976,F,Dynamo Kiev,529,253,1,
Aleksandar Mitrovic,1994,F,Fulham,501,253,6,
Lefter Küçükandonyadis,1924,F,Boluspor,471,253,4,
Roberto Baggio,1967,F,Brescia,539,251,3,
Zarra,1921,F,Athletic Bilbao,277,251,1,
Manfred Burgsmüller,1949,F,Werder Bremen,520,251,0,
Claudiu Keserü,1986,F,UTA Arad,588,251,2,
Jürgen Klinsmann,1964,F,OC Blue Star,543,249,0,
Dirk Kuyt,1980,F,Feyenoord,714,248,0,
Jose Altafini,1938,F,Chiasso,502,248,2,
Jardel,1973,F,Beira-Mar,275,247,3,
Dieter Müller,1954,F,Kickers Offenbach,413,246,0,
Anja Mittag,1985,F,RB Leipzig (K),355,246,0,
Aykut Kocaman,1965,F,İstanbulspor,482,246,0,
Ronaldo,1976,F,Corinthians,377,245,3,
Rannva Biskopsto Andreasen,1980,O,KI (K),268,245,1,
Ruben Castro,1981,F,Malaga,579,245,0,
Wissam Ben Yedder,1990,F,Monaco,498,243,1,
Carlos Tevez,1984,F,Boca Juniors,622,242,3,
Dries Mertens,1987,F,Galatasaray,710,242,2,
Santillana,1952,F,Real Madrid,570,242,0,
Feyyaz Uçar,1963,F,Kuşadasıspor,515,241,2,
Alexandre Lacazette,1991,F,Lyon,551,240,4,
Ali Mabkhout,1990,F,Al Jazira Abu Dhabi,312,240,0,
Jonas,1984,F,Benfica,432,239,6,
Ada Hegerberg,1995,F,Lyon (K),275,239,0,
Ruud Van Nistelrooy,1976,F,Malaga,435,238,1,
Omar Al Somah,1989,F,Al Arabi,297,237,1,
Andrej Kramaric,1991,F,Hoffenheim,521,235,1,
Antonio Di Natale,1977,F,Udinese,518,234,1,
Gabriel Barbosa,1996,F,Flamengo,487,234,8,
Sadio Mane,1992,F,Bayern Münih,561,234,7,
Heung-min Son,1992,F,Tottenham,653,234,4,
Baghdad Bounedjah,1991,F,Al Sadd,279,233,2,
Ulf Kirsten,1965,F,Bayer Leverkusen,460,232,5,
Erling Haaland,2000,F,Manchester City,283,232,0,
Kevin Gameiro,1987,F,RC Strasbourg,668,232,1,
Umut Bulut,1983,F,Eyüpspor,761,231,6,
Teemu Pukki,1990,F,Minnesota United,597,231,0,
Alexis Sanchez,1988,F,Marsilya,734,231,5,
Lisandro Lopez,1983,F,CA Sarmiento,610,230,4,
Alexandra Popp,1991,F,Wolfsburg (K),461,230,2,
Gunnar Nordahl,1921,F,Roma,296,229,2,
Alberto Gilardino,1982,F,Spezia,655,228,1,
Quini,1949,F,Sporting Gijon,490,228,0,
Peter Pacult,1959,F,Austria Wien,499,228,3,
Luuk de Jong,1990,F,PSV Eindhoven,599,228,1,
Mustafa Kocabey,1974,O,Adapazarı Spor,462,227,1,
Cristiana Girelli,1990,F,Juventus (K),363,227,0,
Mauro Boselli,1985,F,Estudiantes,513,227,1,
Arjen Robben,1984,O,Groningen,591,227,4,
Luis Fabiano,1980,F,Vasco da Gama,461,226,11,
Heidi Sevdal,1989,O,NSI (K),228,226,2,
Alvaro Negredo,1985,F,Cadiz,602,226,7,
Chicharito,1988,F,Los Angeles Galaxy,549,226,2,
Johann Krankl,1953,F,Salzburg,344,226,3,
Cesar,1920,F,Elche,354,226,0,
Filippo Inzaghi,1973,F,Milan,507,226,1,
Bobo,1985,F,Sydney,510,225,2,
Patrizia Panico,1975,F,Fiorentina (K),209,225,0,
Frank Mill,1958,F,Fortuna Düsseldorf,582,224,6,
Marta Vieira da Silva,1986,F,Orlando Pride (K),346,224,3,
Marco Di Vaio,1976,F,CF Montreal,545,222,2,
Samantha May Kerr,1993,F,Chelsea (K),350,222,2,
Giuseppe Meazza,1910,F,Inter,377,221,6,
Marco Reus,1989,O,Borussia Dortmund,566,221,2,
Gareth Bale,1989,F,Los Angeles FC,606,221,3,
Marco Reus,1989,O,Borussia Dortmund,566,221,2,
Gareth Bale,1989,F,Los Angeles FC,606,221,3,
Alex de Souza,1977,O,Coritiba,422,220,3,
Fritz Walter,1960,F,Ulm 1846,473,220,0,
Artem Dzyuba,1988,F,Lokomotiv Moscow,540,220,1,
Michael Owen,1979,F,Stoke City,479,219,1,
Diego Forlan,1979,F,Kitchee,611,219,1,
Serkan Aykut,1975,F,Samsunspor,416,218,4,
Nuno Gomes,1976,F,Blackburn Rovers,606,218,6,
Nene,1981,F,Vasco da Gama,785,218,6,
Kris Boyd,1983,F,Kilmarnock,458,216,2,
Luca Toni,1977,F,Hellas Verona,458,215,1,
Joe Gormley,1989,F,Cliftonville,338,215,0,
Cemil Turan,1947,F,Fenerbahçe,523,215,0,
Roberto Soldado,1985,F,Levante,599,215,7,
Jonathan Soriano,1985,F,CD Castellon,329,215,1,
Rivaldo,1972,F,Mogi Mirim,410,214,2,
Kurt Hamrin,1934,F,Napoli,440,214,0,
Klaus Allofs,1956,F,Werder Bremen,512,214,1,
Aritz Aduriz,1981,F,Athletic Bilbao,567,212,9,
Roque Santa Cruz,1981,F,Libertad,770,211,0,
Paolo Guerrero,1984,F,Racing Club,607,211,6,
Rogelio Funes Mori,1991,F,Monterrey,477,209,5,
Charlotta 'Lotta' Eva Schelin,1984,F,Rosengard (K),247,209,0,
Danny Rowe,1989,F,Chesterfield,371,209,0,
Pahino,1924,F,Granada,278,209,1,
Şükrü Gülesin,1922,F,Galatasaray,295,209,0,
Bruno Labbadia,1966,F,Karlsruher SC,560,208,2,
David Trezeguet,1977,F,Pune FC,417,207,2,
Alvaro Morata,1992,F,Atletico Madrid,553,207,5,
Christian Vieri,1973,F,Atalanta,392,206,4,
Timo Werner,1996,F,RB Leipzig,484,206,0,
Gabriel Batistuta,1969,F,Inter,372,206,4,
Mario Mandzukic,1986,F,Milan,536,205,2,
Andriy Yarmolenko,1989,F,Dynamo Kiev,574,204,5,
Simon Terodde,1988,F,Schalke 04,397,203,0,
Karl Allgöwer,1957,O,Stuttgart,489,203,0,
Lothar Emmerich,1941,F,Würzburger Kickers,336,202,1,
Elise Hove Thorsnes,1988,F,Valerenga (K),347,202,1,
Iago Aspas,1987,F,Celta Vigo,447,202,4,
Giuseppe Signori,1968,F,Iraklis Thessaloniki,390,201,2,
Michy Batshuayi,1993,F,Fenerbahçe,482,201,3,
Peter Utaka,1984,F,Ventforet Kofu,480,201,1,
Horst Hrubesch,1951,F,Borussia Dortmund,306,200,0,
Harpa Thorsteinsdottir,1986,F,Stjarnan (K),233,200,1,
Dairo Moreno,1985,F,Once Caldas,437,200,1,
Fabio Quagliarella,1983,F,Sampdoria,631,200,2,
Dusan Tadic,1988,O,Fenerbahçe,661,199,1,
Saffet Sancaklı,1966,F,Konyaspor,403,198,2,
Rory McAllister,1987,F,Montrose,392,198,6,
Eden Hazard,1991,F,Real Madrid,734,198,1,
Kevin Kuranyi,1982,F,Dinamo Brest,513,197,2,
Mauro Icardi,1993,F,Galatasaray,381,197,0,
Leigh Griffiths,1990,F,Dundee FC,434,197,0,
Jelle Vossen,1989,F,SV Zulte Waregem,533,197,2,
Luiz Adriano,1987,F,Internacional,509,197,4,
Dieumerci Mbokani,1985,F,Waasland-Beveren,444,197,4,
Salomon Kalou,1985,F,CDE-Colas,642,197,0,
Ferenc Puskas,1927,F,Real Madrid,228,197,1,
Steven Gerrard,1980,O,Los Angeles Galaxy,790,196,7,
Gregory Draper,1989,F,Guilsfield,274,196,1,
Dragan Ceran,1987,F,Pakhtakor Tashkent,324,196,3,
Eoin Doyle,1988,F,St Patricks,550,196,4,
Stefan Kuntz,1962,F,Bochum,507,196,1,
Liedson,1977,F,Porto,377,195,3,
Mundo,1916,F,Alcoyano,231,195,0,
Diego Souza,1985,O,Gremio,602,195,10,
Guillaume Hoarau,1984,F,Saint-Pierroise,402,195,2,
Kostas Mitroglou,1988,F,Aris Saloniki,438,194,1,
Renate Jansen,1990,F,Twente (K),370,194,0,
Yıldıray Koçal,1990,F,Çankaya FK,377,194,1,
Christian Stuani,1986,F,Girona,534,194,4,
Billy Sharp,1986,F,Sheffield United,525,193,2,
Gökhan Erdöl,1986,F,52 Orduspor FK,534,193,1,
Mert Nobre,1980,F,Gençlerbirliği,520,192,7,
Memphis Depay,1994,F,Atletico Madrid,496,192,1,
Seydou Doumbia,1987,F,Hamrun Spartans,362,192,2,
Carlos Vela,1989,F,Los Angeles FC,571,192,0,
Ertuğrul Sağlam,1969,F,Samsunspor,512,191,5,
Fevzi Zemzem,1941,F,İskenderunspor,404,191,1,
Djibril Cisse,1981,F,Yverdon,473,190,3,
Berglind Björg Thorvaldsdottir,1992,O,PSG (K),308,190,0,
Hannes Löhr,1942,F,Köln,433,190,1,
Elkeson,1989,F,Chengdu Qianbao,444,190,1,
Roberto Boninsegna,1943,F,Juventus,419,190,2,
Necati Ateş,1980,F,Karşıyaka,519,189,1,
Jill Jamie Roord,1997,O,Wolfsburg (K),366,189,0,
Margret Lara Vidarsdottir,1986,F,Valur (K),232,189,1,
Isabell Herlovsen,1988,F,Kolbotn (K),247,189,1,
Raheem Sterling,1994,F,Chelsea,594,189,2,
Odion Ighalo,1989,F,Al Hilal Riyadh,418,189,1,
Hakan Doğan,1990,F,Niksar Belediyespor,375,189,2,
Mario Balotelli,1990,F,Adana Demirspor,470,189,14,
Lothar Matthaus,1961,O,New York Red Bulls,734,189,4,
Ricardo Oliveira,1980,F,Athletic Club,469,189,2,
Oribe Peralta,1984,F,Guadalajara,474,188,5,
Diana Tropnykova,1986,F,Zorka-BDU (K),238,188,1,
Carlos Bacca,1986,F,Junior,506,188,2,
Raul Ruidiaz,1990,F,Seattle Sounders,373,188,2,
Ricky van Wolfswinkel,1989,F,Twente,520,187,1,
Paul Heatley,1987,F,Crusaders FC,372,187,6,
Inka Grings,1978,F,Köln (K),150,187,1,
Chris Wondolowski,1983,F,San Jose Earthquakes,424,187,2,
Nicolas Anelka,1979,F,Mumbai City,602,186,1,
Stina Blackstenius,1996,O,Arsenal (K),366,186,0,
Lieke Martens,1992,O,PSG (K),428,186,1,
Dieter Schatzschneider,1958,F,Hannover 96,328,186,1,
Roland Wohlfarth,1963,F,Wuppertaler SV,428,186,2,
Alexandre Pato,1989,F,Sao Paulo,481,186,0,
Gianluca Vialli,1964,F,Chelsea,480,186,3,
Alessandro Altobelli,1955,F,Juventus,440,185,3,
Shota Arveladze,1973,F,Levante,303,184,2,
Vincent Aboubakar,1992,F,Beşiktaş,436,184,6,
Mehmet Özdilek,1966,O,Beşiktaş,622,184,3,
Mario Kempes,1954,F,Kremser SC,391,184,0,
Michael Preetz,1967,F,Hertha Berlin,539,183,0,
Patrick Madden,1990,F,Stockport County,524,183,2,
Vedad Ibisevic,1984,F,Schalke 04,505,183,6,
Robinho,1984,F,Santos,639,183,1,
Elvir Bolic,1971,F,Rijeka,490,183,4,
Robinho,1984,F,Santos,639,183,1,
Elvir Bolic,1971,F,Rijeka,490,183,4,
Chris Wood,1991,F,Nottingham Forest,533,182,0,
Fernando Zampedri,1988,F,Universidad Catolica,378,182,5,
Chris Venables,1985,F,Penybont,308,182,9,
Jose Sand,1980,F,Lanus,424,182,2,
Alan,1989,F,Fluminense,346,182,4,
Demba Ba,1985,F,Lugano,418,182,0,
Angel Di Maria,1988,O,Benfica,794,182,10,
Fernando Llorente,1985,F,Eibar,625,182,1,
Fatih Tekke,1977,F,Orduspor,447,181,7,
Arza,1923,F,Sevilla,353,181,0,
Jose Salomon Rondon,1989,F,River Plate,526,181,4,
Christian Gytkjaer,1990,F,Monza,404,181,1,
Bernd Hölzenbein,1946,F,Salmrohr,475,181,1,
Giampiero Boniperti,1928,F,Juventus,450,181,4,
David Lafata,1981,F,Sparta Prag,306,180,1,
Fabio Lima,1993,O,Al Wasl Dubai,260,180,2,
Luis Aragones,1938,F,Atletico Madrid,398,180,2,
Silvio Romero,1988,F,Fortaleza,550,180,2,
Silvio Romero,1988,F,Fortaleza,550,180,2,
Maxi Rodriguez,1981,F,Newells Old Boys,641,179,2,
Ewa Pajor,1996,O,Wolfsburg (K),242,179,1,
Jenifer Hermoso,1990,O,Barcelona (K),272,179,0,
Alfredo Morelos,1996,F,Rangers,369,179,8,
Henrikh Mkhitaryan,1989,O,Inter,658,179,1,
Alvaro Saborio,1982,F,San Carlos,419,179,2,
Ronnie Worm,1953,F,Braunschweig,492,179,0,
Emmanuel Adebayor,1984,F,Club Olimpia,542,178,7,
Wout Weghorst,1992,F,Burnley,459,178,1,
Miguel Borja,1993,F,River Plate,444,178,5,
Gianluca Lapadula,1990,F,Cagliari,391,178,4,
Leandro Damiao,1989,F,Kawasaki Frontale,481,178,1,
Pedro,1987,F,Lazio,716,178,3,
Theofanis Gekas,1980,F,Sivasspor,386,178,1,
Gorostiza,1909,F,Valencia,260,178,0,
Ivica Vastic,1969,O,LASK Linz,398,178,5,
Kenny Miller,1979,F,Partick Thistle,553,178,2,
Ümit Karan,1976,F,Eskişehirspor,453,177,4,
Jimmy Floyd Hasselbaink,1972,F,Cardiff City,338,177,4,
Jamie Vardy,1987,F,Leicester City,454,177,3,
Enner Valencia,1989,F,Internacional,457,177,3,
Dejan Damjanovic,1981,F,Kitchee,341,177,1,
Marco Paixao,1984,F,Altay,359,177,0,
Padraig Amond,1988,F,Woking,544,177,0,
Rodrigo Tabata,1980,O,Al Sadd,377,177,5,
Diego Costa,1988,F,Wolverhampton,467,177,7,
Wesley Sneijder,1984,O,Al Gharafa,644,177,4,
Jimmy Floyd Hasselbaink,1972,F,Cardiff City,338,177,4,
Peter Crouch,1981,F,Burnley,621,176,4,
Giuseppe Savoldi,1947,F,Atalanta,427,176,2,
Roberto Firmino,1991,F,Al Ahli Jeddah,571,176,0,
Adam Rooney,1988,F,Hereford FC,503,176,0,
Gary Hooper,1988,F,Omonia Nicosia,402,176,0,
Graziano Pelle,1985,F,Parma,437,176,4,
Gianfranco Zola,1966,F,Cagliari,563,175,1,
Diogo,1987,F,Johor DT,350,175,6,
Jo,1987,F,Corinthians,554,175,3,
Luigi Riva,1944,F,Cagliari,315,175,2,
Patrick Kluivert,1976,F,Lille,417,175,4,
Patrick Kluivert,1976,F,Lille,417,175,4,
Milan Baros,1981,F,Banik Ostrava,505,174,7,
Manon Melis,1986,F,Seattle Reign (K),233,174,1,
Arkadiusz Milik,1994,F,Juventus,433,174,2,
Dieter Hoeness,1952,F,Bayern Münih,389,174,0,
Dame N'Doye,1985,F,FC Copenhagen,418,174,1,
Gonzalo Bergessio,1984,F,Tristan Suarez,528,174,12,
Amadeo Amadei,1921,F,Napoli,424,174,0,
Simao Sabrosa,1979,O,NorthEast United,689,174,5,
Santiago Salcedo,1981,F,Sol De America,448,174,3,
Giovane Elber,1972,F,Cruzeiro,368,173,3,
Joaquin Larrivey,1984,F,Magallanes,508,173,4,
Stefan Kiessling,1984,F,Bayer Leverkusen,508,173,2,
Uwe Seeler,1936,F,Hamburg,291,173,0,
Roberto Mancini,1964,F,Leicester City,621,173,8,
Kaka,1982,O,Orlando City,571,173,4,
Nils Petersen,1988,F,Freiburg,452,172,1,
Kevin De Bruyne,1991,O,Manchester City,682,172,2,
Oktay Derelioğlu,1975,F,Fatih Karagümrük,377,171,0,
Diego Milito,1979,F,Racing Club,402,171,1,
Jean-Pierre Nsame,1993,F,Young Boys,334,171,3,
Julio Salinas,1962,F,Deportivo Alaves,484,171,0,
Markus Rosenberg,1982,F,Malmö FF,516,171,4,
Diego Milito,1979,F,Racing Club,402,171,1,
Davor Suker,1968,F,1860 München,366,170,5,
Eduard Golovljov,1997,F,FC Tallinn,263,170,1,
Jamie Maclaren,1993,F,Melbourne City,299,170,1,
Quincy Promes,1992,F,Spartak Moskova,441,170,1,
Camille Abily,1984,O,Lyon (K),307,170,0,
Liam Boyce,1991,F,Hearts,365,170,1,
Besart Ibraimi,1986,F,Struga,333,170,0,
Ivan Perisic,1989,F,Tottenham,716,170,5,
Jozy Altidore,1989,F,New England Revolution,494,170,6,
Frederic Kanoute,1977,F,Beijing Guoan,436,169,5,
Emmanuel Gigliotti,1987,F,Nacional de Football,490,169,7,
Alex Teixeira,1990,O,Vasco da Gama,440,169,6,
Mario Gavranovic,1989,F,Kayserispor,446,169,2,
Andre Ayew,1989,F,Nottingham Forest,590,169,3,
Papiss Cisse,1985,F,Amiens SC,397,169,2,
Fernando Morientes,1976,F,Marsilya,433,169,3,
Francesco Caputo,1987,F,Empoli,424,169,3,
Emmanuel Gigliotti,1987,F,Nacional de Football,490,169,7,
Alex Teixeira,1990,O,Vasco da Gama,440,169,6,
Mario Gavranovic,1989,F,Kayserispor,446,169,2,
Andre Ayew,1989,F,Nottingham Forest,590,169,3,
Papiss Cisse,1985,F,Amiens SC,397,169,2,
Fernando Morientes,1976,F,Marsilya,433,169,3,
Massimo Maccarone,1979,F,Carrarese,597,168,3,
Raily Ignacio,1987,F,AFC Amsterdamsche,300,168,4,
Christian Benteke,1990,F,DC United,522,168,7,
Milivoje Novakovic,1979,F,Maribor,403,168,3,
Yuri,1982,F,Ponferradina,434,168,5,
Andrea Caracciolo,1981,F,FeralpiSalo,523,168,7,
Scott McDonald,1983,F,Gold Coast Knights,505,168,2,
Robbie Fowler,1975,F,Blackburn Rovers,403,167,2,
Osman Arpacıoğlu,1947,F,Fenerbahçe,366,167,5,
Ahmet Güven,1985,F,Samsun BŞBld.,414,167,3,
Moussa Sow,1986,F,Ümraniyespor,457,167,0,
Diego Tardelli,1985,F,Atletico Mineiro,407,167,3,
Obafemi Martins,1984,F,Shanghai Shenhua,456,167,3,
Moussa Sow,1986,F,Ümraniyespor,457,167,0,
Diego Tardelli,1985,F,Atletico Mineiro,407,167,3,
Obafemi Martins,1984,F,Shanghai Shenhua,456,167,3,
Asamoah Gyan,1985,F,NorthEast United,342,166,4,
Michael Olunga,1994,F,Al Duhail SC,233,166,0,
Jordan Owens,1989,F,Crusaders FC,385,166,1,
Andrew Waterworth,1986,F,Glenavon FC,330,166,1,
Lorenzo Insigne,1991,F,Toronto FC,561,166,3,
Shinzo Koroki,1986,F,Urawa Red Diamonds,440,166,1,
Cenk Tosun,1991,F,Beşiktaş,429,166,2,
Fredy Montero,1987,F,Seattle Sounders,482,166,3,
David Goodwillie,1989,F,Clyde,432,166,1,
Ola Toivonen,1986,F,Malmö FF,509,166,1,
Hernan Barcos,1984,F,Alianza Lima,433,165,2,
James Norwood,1990,F,Oldham Athletic,413,165,6,
Guglielmo Gabetto,1916,F,Torino,322,165,1,
Riyad Mahrez,1991,O,Al Ahli Jeddah,549,165,0,
Gilberto,1989,F,Cruzeiro,451,165,2,
Aleksandar Prijovic,1990,F,Western United,425,165,1,
